6,7,Jade Cliff Pass, A dangerous mountain pass with narrow paths,1,1,0,0
7,7,Jade Cliff Pass, A treacherous pass where only the brave venture,1,1,0,0
8,7,Jade Cliff Pass, A narrow pass through the cliffs full of danger,1,1,0,0
9,7,Battle Plains, A battlefield where only the strongest can survive,0,0,1,0
0,8,Verdant Forest, A thick forest with hidden paths and dangers,1,0,0,0
1,8,Verdant Forest, A secluded part of the forest rich with wildlife,0,1,0,0
2,8,Verdant Forest, A dense forest full of rare plants and hidden paths,0,1,1,0
3,8,Verdant Forest, A quiet section of the forest with many secrets,1,0,0,1
4,8,Verdant Forest, A beautiful but dangerous forest path,0,0,0,0
5,8,Verdant Forest, A forest full of hidden paths and dangers,0,0,1,0
9,8,Battle Plain, A fierce battleground where warriors clash,0,0,1,1
0,9,Bamboo Grove, A quiet grove full of towering bamboo,1,1,0,0
1,9,Bamboo Grove, A serene bamboo forest where secrets are found,1,1,0,0
2,9,Bamboo Grove, A peaceful bamboo grove perfect for exploration,1,1,0,0
3,9,Bamboo Grove, A quiet area of the bamboo forest with hidden paths,0,1,0,0
4,9,Verdant Forest, A beautiful forest with hidden treasures,0,0,0,0
5,9,Verdant Forest, A secluded part of the forest rich in wildlife,0,0,1,0
8,9,Battle Plain, A field of battle where the strong come to fight,1,0,0,1
9,9,Battle Plains, A vast battlefield where strength is tested,0,0,1,0
